title,Job Provider,Salary,Experience,Eligible nation,Company location,Workplace model,Advertisement Duration,Data Source
Social Media Specialist,Centriq Company,N/A,N/A,Saudi nationals,Riyadh,OnSite,Just Now,Bayt.com
مراقبة امن,N/A,N/A,N/A,Saudi nationals,Saudi Arabia,OnSite,1 hour ago,Bayt.com
مهندس مصاعد Elevator Engineer,شركة سماءالتكيف,N/A,Mid career·5-20 ,International,Ar Rabwah,,1 hour ago,Bayt.com
Industrial Electrician,Cigalah Group,"$500 - $1,000",Mid career·3-15 ,International,Mecca,OnSite,1 hour ago,Bayt.com
Product Research Development Manager,Cigalah Group,N/A,Management·5-10 ,International,Bahrah,OnSite,1 hour ago,Bayt.com
Platform Operations,Fircroft,N/A,N/A,International,Riyadh,OnSite,1 hour ago,Bayt.com
Data Center – COPS,Fircroft,N/A,N/A,International,Riyadh,OnSite,1 hour ago,Bayt.com
Network & Voice - Voice Administration,Fircroft,N/A,N/A,International,Riyadh,OnSite,1 hour ago,Bayt.com
Storage & Backup Administrator,Fircroft,N/A,N/A,International,Riyadh,OnSite,1 hour ago,Bayt.com
Credit Specialist,CD Horizon Arabia Company Ltd,N/A,N/A,International,Riyadh,OnSite,1 hour ago,Bayt.com
QA Inspector,Electrical Industries Company,N/A,10-May,International,Dammam,OnSite,2 hours ago,Bayt.com
Electrical Design Engineer (Power Control Room),Electrical Industries Company,N/A,N/A,International,Dammam,OnSite,2 hours ago,Bayt.com
Business Development Engineer,Electrical Industries Company,N/A,Mid career·5-10 ,International,Dammam,OnSite,2 hours ago,Bayt.com
SUBSTATION AUTOMATION SYSTEM (SAS) SALES ENGINEER,N/A,N/A,Mid career·6-15 ,International,Dammam,OnSite,2 hours ago,Bayt.com
Test Bay Engineer,Electrical Industries Company,N/A,N/A,International,Dammam,OnSite,2 hours ago,Bayt.com
Finance Manager,Electrical Industries Company,N/A,Management,International,Dammam,OnSite,2 hours ago,Bayt.com
Service Engineer / Testing & Commissioning Engineer,N/A,N/A,Mid career·5-10 ,International,Dammam,OnSite,2 hours ago,Bayt.com
Sales Consultant,Universal Motors Agencies,N/A,3-Jan,Saudi nationals,Jeddah,OnSite,2 hours ago,Bayt.com
Sales Executive,Ahmed Abdulwahed Co,N/A,N/A,Saudi nationals,Jeddah,OnSite,2 hours ago,Bayt.com
مهندس مناقصات أول بنية تحتية,N/A,N/A,Mid career,International,Al Yarmuk,OnSite,2 hours ago,Bayt.com
مسوق عقاري,شركة افاق بلدي العقارية,"$1,000 - $1,500",Entry level,Saudi nationals,Jeddah,OnSite,3 hours ago,Bayt.com
Telesales Representative (Female) - ممثلة مبيعات عبر الهاتف (إناث),N/A,N/A,Entry level,International,Saudi Arabia,OnSite,3 hours ago,Bayt.com
منسقة طبيب Doctor Coordinator,شركة نماء الصحة الطبية,"$4,000 - $5,000",Mid career·0-3 ,International,Ar Rabi,OnSite,3 hours ago,Bayt.com
Consultant Internal Medicine (female),Rad Care Medical Company,N/A,N/A,Saudi nationals,Riyadh,OnSite,3 hours ago,Bayt.com
Customer Service Representative,شركة نماء الصحة الطبية,"$5,000 - $6,000",Entry level,Saudi nationals,Ar Rabi,OnSite,3 hours ago,Bayt.com
ممثل مبيعات,شركه صناع الابطال لتقنيه المعلموات,"$500 - $1,000",Entry level,International,Jeddah,,4 hours ago,Bayt.com
Sales Supervisor,the Grandeur,N/A,N/A,International,Jeddah,,4 hours ago,Bayt.com
"Sales & Marketing Executive – Infrastructure, Construction Projects & Ready Mix Concrete",Oriental Structural Gulf,"$2,000 - $3,000",Mid career,International,Riyadh,OnSite,4 hours ago,Bayt.com
اخصائي موارد بشرية,alqimma equipment compny,N/A,Mid career·3-10 ,Saudi nationals,Jeddah,OnSite,4 hours ago,Bayt.com
Purchasing representative,Armada International Corporation,"$500 - $1,000",N/A,International,Riyadh,OnSite,4 hours ago,Bayt.com
Purchasing representative,Armada International Corporation,"$500 - $1,000",N/A,International,Riyadh,OnSite,4 hours ago,Bayt.com
Urgent Job Vacancy: Female Teachers Required in Al Himah Girls Training Academy,ladies military academy,"$5,000 - $6,000",Mid career,International,Riyadh,OnSite,5 hours ago,Bayt.com
Marketing Manager,Meituan,N/A,Management,International,Riyadh,OnSite,5 hours ago,Bayt.com
Social Media Specialist Supervisor,Universal Motors Agencies,N/A,N/A,International,Jeddah,OnSite,5 hours ago,Bayt.com
Social Media Specialist,Universal Motors Agencies,N/A,N/A,International,Jeddah,OnSite,5 hours ago,Bayt.com
استشاري مبيعات,Universal Motors Agencies,N/A,N/A,Saudi nationals,Jeddah,OnSite,5 hours ago,Bayt.com
Accountant/Riyadh/2 shifts,N/A,N/A,N/A,Saudi nationals,Riyadh,OnSite,6 hours ago,Bayt.com
منسق مبيعات,NFIC,N/A,Mid career·3-10 ,Saudi nationals,Najran,OnSite,6 hours ago,Bayt.com
Administration Officer,Al Fares Holding Company,N/A,N/A,International,Khobar,OnSite,7 hours ago,Bayt.com
Aftersales Business Development Supervisor,Alesayi Motors,N/A,Mid career·5-6 ,International,Saudi Arabia,OnSite,7 hours ago,Bayt.com
IT Manager,N/A,N/A,N/A,International,Industrial Area-Kharj Road,OnSite,7 hours ago,Bayt.com
HVAC Technician,SSCL,N/A,Entry level,International,Ar-Rawdha,OnSite,8 hours ago,Bayt.com
Call Center Agent,Saudi Networkers Services - SNS,"$1,000 - $1,500",Fresh graduate,International,Dammam,OnSite,8 hours ago,Bayt.com
موظف خدمة عملاء بالعيادات,N/A,N/A,N/A,Saudi nationals,Riyadh,OnSite,8 hours ago,Bayt.com
محاسب,N/A,N/A,N/A,Saudi nationals,Riyadh,OnSite,8 hours ago,Bayt.com
Production Manager - Filter,Mutlaq Al Mutlaq Real Estate,"$4,000 - $5,000",Management,International,Jeddah,OnSite,8 hours ago,Bayt.com
مندوب مبيعات,NalPlast,N/A,Mid career·2-5 ,International,Jeddah,OnSite,8 hours ago,Bayt.com
محصل ديون,مطالبة,"$4,000 - $5,000",Entry level,International,As-Safa,OnSite,9 hours ago,Bayt.com
Marketing Specialist,N/A,"$3,000 - $4,000",Entry level·2-6 ,Saudi nationals,Riyadh,OnSite,16 hours ago,Bayt.com
Rig Mechanical Service Engineer / Senior Drilling Equipment Mechanic,Fuda Energy Technologies DMCC,N/A,N/A,International,Khobar,OnSite,21 hours ago,Bayt.com
أخصائية جلدية وتجميل,الدستور لالحاق العمالة,N/A,Director/Head,International,Samta,OnSite,23 hours ago,Bayt.com
